DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/21/2024,2788 tallberg court,Mississauga,Ontario,L5j1t1,Justine seiuwright,Re/max west realty inc.,"$2,488,888",43.5027704,79.6528146
06/21/2024,179 - 2440 bromsgrove road,Mississauga,Ontario,L5j4j7,Veronique paquette,Exp realty,"$739,900",43.5054221,79.6433128
06/21/2024,5 - 1212 seagull drive,Mississauga,Ontario,L5j3t5,Frank burgio,Right at home realty,"$699,000",43.5090242,79.6428334
06/21/2024,1212 seagull drive unit# 5,Mississauga,Ontario,L5j3t5,Hayden mckenzie,Right at home realty brokerage,"$699,000",43.50914165,79.64264028
06/21/2024,2001 bonnymede drive,"Unit #140
mississauga",Ontario,L5j4h8,Kelly goss,Streetcity realty inc. brokerage,"$559,000",43.509378,79.625635
06/21/2024,120 - 2315 bromsgrove road,Mississauga,Ontario,L5j4a6,Ruth watts,Homelife superior realty inc.,"$820,000",43.5096715,79.6418349
06/21/2024,140 - 2001 bonnymede drive,Mississauga,Ontario,L5j4h8,Monique mittas,Streetcity realty inc.,"$559,000",43.5096956,79.6260413
06/21/2024,Upper - 2575 benedet drive n,Mississauga,Ontario,L5j4h6,Frank lee,Aimhome realty inc.,"$3,350/monthly",43.510551,79.6575656
06/21/2024,753 fletcher valley crescent,Mississauga,Ontario,L5j2x4,Margarita celuch,Royal lepage realty centre,"$1,499,000",43.5110104,79.6178857
06/21/2024,218 - 1165 journeyman lane,Mississauga,Ontario,L5j0b6,Reet babrah,Save max real estate inc.,"$539,900",43.5114481,79.6370362
06/21/2024,483 bobolink rd road,Mississauga,Ontario,L5j2p3,Peter philip papousek,"Re/max escarpment realty inc., brokerage","$4,248,888",43.51165001,79.60422368
06/21/2024,483 bobolink road,Mississauga,Ontario,L5j2p3,Peter philip papousek,Re/max escarpment realty inc.,"$4,248,888",43.5121598,79.6041914
06/21/2024,63 - 2170 bromsgrove road,Mississauga,Ontario,L5j4j2,Stephanie de souza,Search realty,"$629,900",43.5121735,79.637261
06/21/2024,1460 halyard court,Mississauga,Ontario,L5j1b1,Candice leigh chilton,Sutton group realty systems inc.,"$2,799,000",43.5140533,79.60342
06/21/2024,1060 walden circle unit# 44,Mississauga,Ontario,L5j4j9,Elizabeth di rauso,Remax realty enterprises inc,"$999,999",43.51471498,79.62863734
06/21/2024,44 - 1060 walden circle,Mississauga,Ontario,L5j4j9,Liz dirauso,Re/max realty enterprises inc.,"$999,999",43.5149749,79.6278288
06/21/2024,1924 balsam avenue,Mississauga,Ontario,L5j1l2,Ravi baghla,Remax realty services inc m,"$1,350,000",43.51632389,79.63084154
06/21/2024,1924 balsam avenue,Mississauga,Ontario,L5j1l2,Ravi baghla,Re/max realty services inc.,"$1,350,000",43.5163433,79.630862
06/21/2024,2009 delaney drive,Mississauga,Ontario,L5j3l3,Vishal malhotra,Executive real estate services ltd.,"$1,545,000",43.519857,79.6360303
06/21/2024,1459 petrie way,Mississauga,Ontario,L5j3z7,Peter philip papousek,"Re/max escarpment realty inc., brokerage","$2,999,888",43.52079182,79.61386305
06/21/2024,1459 petrie way,Mississauga,Ontario,L5j3z7,Peter philip papousek,Re/max escarpment realty inc.,"$2,999,888",43.5208974,79.6137562
06/21/2024,1422 everall road,Mississauga,Ontario,L5j3l5,Jeff penelas,Re/max realty specialists inc.,"$1,829,000",43.5210802,79.6391524
06/21/2024,302 - 1575 lakeshore road w,Mississauga,Ontario,L5j1j4,Shelley porritt,Royal lepage porritt real estate,"$650,000",43.5211951,79.6206286
06/21/2024,Gr41 - 1575 lakeshore road w,Mississauga,Ontario,L5j1j4,Michael phinney,Royal lepage real estate services phinney real estate,"$609,500",43.5211951,79.6206286
06/21/2024,1204 clarkson road n,Mississauga,Ontario,L5j2w2,Matt sloan,Royal lepage signature realty,"$2,598,000",43.52125822,79.62934868
