DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,10 PARK LAWN ROAD UNIT# 2508,ETOBICOKE,ONTARIO,M8V0H9,GRACE SOARES,REMAX WEST REALTY INC,"$630,000",43.62326946,79.48353356
06/07/2024,80 MARINE PARADE DRIVE UNIT# 201,ETOBICOKE,ONTARIO,M8V0A3,SCOTT BIRD,RE/MAX CROSSTOWN REALTY INC. BROKERAGE,"$629,900",43.62444021,79.47787906
13/07/2024,34 TRUEMAN AVENUE,ETOBICOKE,ONTARIO,M8Z5A2,ROBERT PREECE,EXP REALTY,"$1,399,900",43.62441686,79.5239294
02/07/2024,5101 DUNDAS STREET W UNIT# 1203,ETOBICOKE,ONTARIO,M9A5G8,MARK LOEFFLER,"KELLER WILLIAMS SIGNATURE REALTY, BROKERAGE","$484,900",43.64480123,79.53192949
03/07/2024,2 EVA ROAD UNIT# 1724,ETOBICOKE,ONTARIO,M9C0A9,PARTH PATEL,"REVEL REALTY INC., BROKERAGE","$589,900",43.64076286,79.56250953
02/07/2024,17 ZORRA STREET UNIT# 1809,ETOBICOKE,ONTARIO,M8Z0C8,CAL ROY,HOMELIFE MIRACLE REALTY LTD.,"$499,000",43.6212889,79.52127425
27/06/2024,59 WARESIDE ROAD,ETOBICOKE,ONTARIO,M9C3B5,PAUL FLETCHER,REMAX REALTY SPECIALISTS INC MILLCREEK DRIVE,"$1,275,000",43.65127763,79.57134698
29/06/2024,15 MICHAEL POWER PLACE UNIT# 1109,ETOBICOKE,ONTARIO,M9A5G4,LINDSAY LEMIERZEWICZ,IPRO REALTY LTD.,"$498,000",43.64517539,79.53027074
29/06/2024,18 HESLOP DRIVE,ETOBICOKE,ONTARIO,M8W4R1,MICHAEL MCQUINN,"KELLER WILLIAMS SIGNATURE REALTY, BROKERAGE","$1,099,000",43.60162614,79.55111014
27/06/2024,81 KING STREET E,KINGSTON,ONTARIO,K7L2Z6,BARRY COHEN,RE/MAX REALTRON BARRY COHEN HOMES INC.,"$25,000,000",43.6495224,79.3751492
02/07/2024,18 VALLEY WOODS ROAD UNIT# 510,NORTH YORK,ONTARIO,M3A0A1,RYAN JORDAN CHING,"CENTURY 21 MILLER REAL ESTATE LTD., BROKERAGE","$488,888",43.75264038,79.33268489
13/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,DANIEL TODD FREEMAN,FREEMAN REAL ESTATE LTD.,"$1,599,000",NOT AVAILABLE,NOT AVAILABLE
13/07/2024,1013 - 2485 EGLINTON AVENUE W,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,PHUONG KY HA,THE DANIELS REALTY CORPORATION,"$753,900",43.6913946,79.4684453
04/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CAROL MAXWELL,HARDING & KING REAL ESTATE SERVICES INC.,"$875,000",NOT AVAILABLE,NOT AVAILABLE
04/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CLAUDETTE WALKER,CENTURY 21 LEADING EDGE REALTY INC.,"$899,900",NOT AVAILABLE,NOT AVAILABLE
04/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOREEN KHO,RIGHT AT HOME REALTY,"$1,668,900",NOT AVAILABLE,NOT AVAILABLE
03/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,YEVGENY SEREBRENNIK,CENTURY 21 TITANS REALTY INC.,"$899,000",NOT AVAILABLE,NOT AVAILABLE
03/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ELLEN NG,TRADEWORLD REALTY INC,"$538,000",NOT AVAILABLE,NOT AVAILABLE
03/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,KATHERINE KING-YUAN LAW,HOMELIFE FRONTIER REALTY INC.,"$599,000",NOT AVAILABLE,NOT AVAILABLE
03/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SAM ALLAN MCDADI,SAM MCDADI REAL ESTATE INC.,"$589,000",NOT AVAILABLE,NOT AVAILABLE
03/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SUNITA CHHABRA,SMART CHOICE REALTY SOLUTIONS INC.,"$699,900",NOT AVAILABLE,NOT AVAILABLE
27/06/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,JASON ELLIOT SHIFF,CONDOS AND CASTLES REALTY INC.,"$2,200,000",NOT AVAILABLE,NOT AVAILABLE
09/07/2024,ADDRESS NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ALAN ZHANG,HOMELIFE LANDMARK REALTY INC.,"$588,000",NOT AVAILABLE,NOT AVAILABLE
6/29/2024,6 - 735 SHEPPARD AVENUE E,PICKERING,ONTARIO,L1V7K5,WALID BERKHEDLE,RIGHT AT HOME REALTY,"$829,999",43.8086516,79.1693062
06/07/2024,70 TOWN CENTRE COURT UNIT# 909,SCARBOROUGH,ONTARIO,M1P0B2,JIM CHU,ROYAL LEPAGE REAL ESTATE SERVICES LTD,"$650,000",43.77369445,79.2554614
03/07/2024,25 TOWN CENTRE COURT UNIT# 1506,SCARBOROUGH,ONTARIO,M1P0B4,JAZZ ARORA,HOMELIFE MIRACLE REALTY LTD,"$599,000",43.77347894,79.25496477
27/06/2024,70 CROCKAMHILL DRIVE,SCARBOROUGH,ONTARIO,M1S3H1,JOSIE SCHYWIOLA,SUTTON GROUP INCENTIVE REALTY INC. BROKERAGE,"$828,000",43.79829023,79.28349896
06/07/2024,2206 - 150 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3R5,DANIEL HALE,EXP REALTY,"$649,900",43.6388825,79.4162
06/07/2024,622 - 111 ST CLAIR AVENUE W,TORONTO,ONTARIO,M4V1N5,BECKY LI,HOMELIFE NEW WORLD REALTY INC.,"$649,900",43.6867098,79.3992581
