DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE,TIME
02/08/2024,3970 STARDUST DRIVE,MISSISSAUGA,ONTARIO,L5M8A5,ZAINAB RAZA,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,"$1,050,000",43.5368578,79.7337088,1 day
02/08/2024,4541 BAY VILLA AVENUE,MISSISSAUGA,ONTARIO,L5M4N9,JORIE PRESSWOOD,RE/MAX REALTY SPECIALISTS INC.,"$1,150,000",43.5555077,79.7042365,1 day
02/08/2024,509 - 1 HURONTARIO STREET,MISSISSAUGA,ONTARIO,L5G3G8,MONIQUE LEBLANC-SMITH,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$997,700",43.5561481,79.5823801,1 day
02/08/2024,512 - 65 PORT STREET E,MISSISSAUGA,ONTARIO,L5G4V3,MICHELLE BAILEY,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$1,699,945",43.5537887,79.5808871,1 day
02/08/2024,5202 BUTTERMILL COURT,MISSISSAUGA,ONTARIO,L5V1S4,EDWARD H. S. CHAN,HOMELIFE BROADWAY REALTY INC.,"$1,380,000",43.58019,79.6870722,1 day
02/08/2024,5225 SWIFTCURRENT TRAIL,MISSISSAUGA,ONTARIO,L5R2H9,DINO PREZIO,ROYAL LEPAGE SIGNATURE REALTY,"$1,588,000",43.6070455,79.6665208,1 day
02/08/2024,4563 GUILDWOOD WAY,MISSISSAUGA,ONTARIO,L5R1Z2,BOBBY RHEE,UNION CAPITAL REALTY,"$1,628,000",43.5924935,79.6652205,1 day
02/08/2024,4581 CROSSWINDS DRIVE,MISSISSAUGA,ONTARIO,L5V1G4,MASSIMO SULTANA,IPRO REALTY LTD.,"$1,299,900",43.5839083,79.6748423,1 day
02/08/2024,460 BRISTOL ROAD W UNIT# 4,MISSISSAUGA,ONTARIO,L5R3P6,JOSHUA MCGUIRE,RE/MAX REAL ESTATE CENTRE INC.,"$859,000",43.60395448,79.66975066,1 day
02/08/2024,47C - 928 QUEEN STREET W,MISSISSAUGA,ONTARIO,L5H4K5,GARY BETTS,RE/MAX REALTY SPECIALISTS INC.,"$1,029,000",43.5362528,79.6057239,1 day
02/08/2024,47 - 3500 GLEN ERIN DRIVE,MISSISSAUGA,ONTARIO,L5L1W6,PRADEEP CHHIKARA,HOMELIFE SILVERCITY REALTY INC.,"$899,000",43.5374762,79.6883839,1 day
02/08/2024,3901 MAYLA DRIVE,MISSISSAUGA,ONTARIO,L5M7Y8,FARIDA ASAD,HOMELIFE/MIRACLE REALTY LTD,"$1,349,900",43.5434413,79.7399339,1 day
02/08/2024,3340 ERIN CENTRE BOULEVARD,MISSISSAUGA,ONTARIO,L5M8C3,SHAHID KHAWAJA,SHAHID KHAWAJA REAL ESTATE INC.,"$2,299,900",43.5450409,79.7322048,1 day
02/08/2024,3437 BURNINGOAK CRESCENT,MISSISSAUGA,ONTARIO,L4Y3L6,ANDREI MAZOUR,RIGHT AT HOME REALTY,"$1,499,000",43.6101528,79.6054004,1 day
02/08/2024,3227 RAINDANCE CRESCENT,MISSISSAUGA,ONTARIO,L5N8L7,NADIA MELANIE MECO,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$975,000",43.5882461,79.7849061,1 day
02/08/2024,3256 CAMBERWELL STREET,MISSISSAUGA,ONTARIO,L5M6T2,MAHESH SARDANA,RE/MAX MILLENNIUM REAL ESTATE,"$899,000",43.5619489,79.7490668,1 day
02/08/2024,3798 SWIFTDALE DRIVE,MISSISSAUGA,ONTARIO,L5M6M5,TAMER HOSNY DARWISH,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$1,499,000",43.5505351,79.7432714,1 day
02/08/2024,3834 ALTHORPE CIRCLE,MISSISSAUGA,ONTARIO,L5N7G3,IAN WILSON,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$1,149,900",43.5791556,79.7910857,1 day
02/08/2024,3847 PASSWAY ROAD,MISSISSAUGA,ONTARIO,L5N8N8,JOSE (JOJO) A.M TORRALBA,CENTURY 21 ASSOCIATES INC.,"$1,447,500",43.5845669,79.7929364,1 day
02/08/2024,3855 THOMAS STREET,MISSISSAUGA,ONTARIO,L5M7A6,SAM ALLAN MCDADI,SAM MCDADI REAL ESTATE INC.,"$1,600,000",43.5514002,79.7477123,1 day
02/08/2024,7294 VERNOR DRIVE,MISSISSAUGA,ONTARIO,L4T2P4,HARJIT KAUR,RE/MAX GOLD REALTY INC.,"$969,900",43.7152987,79.6440102,1 day
02/08/2024,808 - 1271 WALDEN CIRCLE,MISSISSAUGA,ONTARIO,L5J4R4,DORIS WOOD,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$834,600",43.5127912,79.6292917,1 day
02/08/2024,769 CLEMENS CRESCENT,MISSISSAUGA,ONTARIO,L5V2S9,JIMMY HUY HA,HOMELIFE LANDMARK REALTY INC.,"$1,499,000",43.6159369,79.7043085,1 day
02/08/2024,706 - 36 ELM DRIVE,MISSISSAUGA,ONTARIO,L5B0N3,JESSE STUART TAYLOR,UNRESERVED,"$499,000",43.5899313,79.631833,1 day
02/08/2024,7179 DELMONTE CRESCENT,MISSISSAUGA,ONTARIO,L4T3L4,CARMEN SHOUKRALLA,WEST-100 CAPITAL REALTY INC.,"$1,099,000",43.7264442,79.6261146,1 day
02/08/2024,7241 CUSTER CRESCENT,MISSISSAUGA,ONTARIO,L4T3B1,SANDY BHUTANI,ROYAL LEPAGE SIGNATURE REALTY,"$899,000",43.726732,79.6284884,1 day
02/08/2024,PT LT 2 - 1470 PINETREE CRESCENT,MISSISSAUGA,ONTARIO,L5G2S8,PETER PHILIP PAPOUSEK,RE/MAX ESCARPMENT REALTY INC.,"$2,699,000",43.5561771,79.6037016,1 day
02/08/2024,84 - 215 MISSISSAUGA VALLEY BOULEVARD,MISSISSAUGA,ONTARIO,L5A1Y7,MICHAEL PAPIS,ROYAL LEPAGE SIGNATURE REALTY,"$808,800",43.5884986,79.6228286,1 day
02/08/2024,86 - 2199 BURNHAMTHORPE ROAD W,MISSISSAUGA,ONTARIO,L5L5M7,PETER M. GIBSON,RE/MAX REALTY SPECIALISTS INC.,"$982,900",43.5467363,79.6867017,1 day
02/08/2024,584 ASHPRIOR AVENUE,MISSISSAUGA,ONTARIO,L5R3N2,NICK CROZIER,KELLER WILLIAMS REAL ESTATE ASSOCIATES,"$1,099,999",43.6115058,79.6847705,1 day
02/08/2024,6 - 3065 LENESTER DRIVE,MISSISSAUGA,ONTARIO,L5C2B8,NIYASAN RAMACHANDRAN,RE/MAX COMMUNITY REALTY INC.,"$699,000",43.5556061,79.6475898,1 day
02/08/2024,605 - 355 RATHBURN ROAD E,MISSISSAUGA,ONTARIO,L4Z1H4,JOE BATTAGLIA,RE/MAX REALTY SPECIALISTS INC.,"$489,800",43.6070391,79.6343448,1 day
02/08/2024,538 AVONWICK AVENUE,MISSISSAUGA,ONTARIO,L5R3M9,RONIA BARAKAT,RE/MAX REALTY SPECIALISTS INC.,"$1,585,000",43.6094705,79.6824187,1 day
02/08/2024,5548 HEATHCOTE WALK,MISSISSAUGA,ONTARIO,L5M6M7,SHAWN MICHAEL WHELAN,RE/MAX HALLMARK REALTY LTD.,"$1,299,000",43.5494294,79.7424722,1 day
02/08/2024,66 - 1624 BLOOR STREET E,MISSISSAUGA,ONTARIO,L4X2S2,BASHAR ABDEL HADI,GFA REALTY LTD.,"$619,990",43.6212954,79.5885685,1 day
02/08/2024,653 TEDWYN DRIVE,MISSISSAUGA,ONTARIO,L5A1K4,FAZAL AZEEM,CENTURY 21 REGAL REALTY INC.,"$1,099,888",43.5863225,79.5896369,1 day
02/08/2024,64 - 4005 HICKORY DRIVE,MISSISSAUGA,ONTARIO,L4W1L1,MARIETTA LINADI,KELLER WILLIAMS ADVANTAGE REALTY,"$919,999",43.6218711,79.6043409,1 day
02/08/2024,65 PORT STREET E UNIT# 512,MISSISSAUGA,ONTARIO,L5G4V3,MICHELLE ANTOINETTE BAILEY,"SOTHEBY'S INTERNATIONAL REALTY CANADA, BROKERAGE","$1,699,945",43.55398428,79.58086135,1 day
02/08/2024,3212 RIDGELEIGH HEIGHTS S,MISSISSAUGA,ONTARIO,L5M6S6,SOPHIE ALEGRA GITERMAN,EASY LIST REALTY LTD.,"$1,290,786",43.56204284,79.74646899,1 day
02/08/2024,3209 - 4065 CONFEDERATION PARKWAY,MISSISSAUGA,ONTARIO,L5B4N1,MONA LIU,BAY STREET GROUP INC.,"$510,000",43.5866892,79.6467391,1 day
02/08/2024,1517 PARKRIDGE ROAD,MISSISSAUGA,ONTARIO,L5E3A2,SEAN HARTLEY KAVANAGH,EXP REALTY,"$1,090,000",43.5992045,79.559422,1 day
02/08/2024,1517 PARKRIDGE ROAD,MISSISSAUGA,ONTARIO,L5E3A2,SEAN KAVANAGH,EXP REALTY,"$1,090,000",43.59995657,79.5586227,1 day
02/08/2024,1760 SOLITAIRE COURT,MISSISSAUGA,ONTARIO,L5L2P3,ERIN C HAYES,RE/MAX ESCARPMENT REALTY INC.,"$1,799,900",43.542759,79.6624228,1 day
02/08/2024,1802 - 3100 KIRWIN AVENUE,MISSISSAUGA,ONTARIO,L5A3S6,SHAHID KHAWAJA,SHAHID KHAWAJA REAL ESTATE INC.,"$568,900",43.5838736,79.6165553,1 day
02/08/2024,1808 - 4675 METCALFE AVENUE,MISSISSAUGA,ONTARIO,L5M0Z7,JOANNA KAZIMIERCZAK,ROYAL LEPAGE SIGNATURE REALTY,"$595,000",43.5562067,79.7079878,1 day
02/08/2024,1703 - 4070 CONFEDERATION PARKWAY,MISSISSAUGA,ONTARIO,L5B0E9,HENRY PICON,SUTTON GROUP - SUMMIT REALTY INC.,"$559,900",43.585834,79.6463002,1 day
02/08/2024,1615 BLANEFIELD ROAD,MISSISSAUGA,ONTARIO,L5G4H3,ERIC AXIAK,REALTY EXECUTIVES PLUS LTD,"$1,100,000",43.5805913,79.5841562,1 day
02/08/2024,1635 KENMUIR AVENUE,MISSISSAUGA,ONTARIO,L5G4B6,ROBERT PIPERNI,EXP REALTY,"$1,500,000",43.57725,79.5885767,1 day
02/08/2024,1701 - 400 WEBB DRIVE,MISSISSAUGA,ONTARIO,L5B3Z7,PETER TU LAM,TRADEWORLD REALTY INC,"$598,000",43.5837264,79.6430321,1 day
02/08/2024,1 - 5530 GLEN ERIN DRIVE,MISSISSAUGA,ONTARIO,L5M6E8,MOE AL ASHKAR,RIGHT AT HOME REALTY,"$919,000",43.5637798,79.7263273,1 day
02/08/2024,1 - 6050 BIDWELL TRAIL,MISSISSAUGA,ONTARIO,L5V1V6,MARIA URSINI,RE/MAX CONDOS PLUS CORPORATION,"$995,000",43.6011181,79.7110788,1 day
02/08/2024,1003 - 55 EGLINTON AVENUE W,MISSISSAUGA,ONTARIO,L5R0E4,WAYNE XU,BAY STREET GROUP INC.,"$598,000",43.6064318,79.6543282,1 day
02/08/2024,13 - 3071 TREADWELLS DRIVE,MISSISSAUGA,ONTARIO,L4X0A1,MICHAEL DEAK,RE/MAX REAL ESTATE CENTRE INC.,"$949,000",43.6176688,79.5775043,1 day
02/08/2024,13 - 7251 COPENHAGEN ROAD,MISSISSAUGA,ONTARIO,L5N2H6,JASMINE LEE,EXP REALTY,"$669,000",43.5953268,79.7720211,1 day
02/08/2024,137 HIGH STREET W,MISSISSAUGA,ONTARIO,L5H1K4,CHRISTOPHER THOMSON,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$1,999,000",43.5455281,79.5938895,1 day
02/08/2024,14 - 6860 MEADOWVALE TOWN CNTR CIRCLE,MISSISSAUGA,ONTARIO,L5N7T4,MOIZ ABDUL,SAVE MAX UNIVERSAL REALTY,"$839,900",43.5841968,79.7576204,1 day
