DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
6/24/2024,# 8 - 517 KINGSTON ROAD,TORONTO,ONTARIO,M4L1V5,CAILEY HEAPS,ROYAL LEPAGE REAL ESTATE SERVICES HEAPS ESTRIN TEAM,"$999,900",43.6775965,79.3018991
02/07/2024,#106 - 360 RIDELLE AVENUE,TORONTO,ONTARIO,M6B1K1,MELODIA BENEDICTO,CENTURY 21 GREEN REALTY INC.,"$499,900",43.7048516,79.4399101
03/07/2024,#1101 - 220 VICTORIA STREET,TORONTO,ONTARIO,M5B2R6,ANNETTE NUNNO,CENTURY 21 PARKLAND LTD.,"$599,000",43.6548584,79.3792134
03/07/2024,#1406 - 3 MASSEY SQUARE,TORONTO,ONTARIO,M4C5L5,SHAIKH HASIB HOSAIN,HOMELIFE/FUTURE REALTY INC.,"$574,900",43.696799,79.2934126
03/07/2024,#1501 - 352 FRONT STREET W,TORONTO,ONTARIO,M5V0K3,ROBERT MIRABELLI,SUTTON GROUP-SECURITY REAL ESTATE INC.,"$549,000",43.6433997,79.3924037
03/07/2024,#2007 - 25 TOWN CENTRE COURT,TORONTO,ONTARIO,M1P0B4,LINDA Y. H. CHAN,LIVING REALTY INC.,"$568,000",43.7733534,79.2547191
03/07/2024,#2009 - 251 MANITOBA STREET,TORONTO,ONTARIO,M8Y0C7,FEEFA KHAN,RE/MAX REALTY SERVICES INC.,"$579,000",43.6238372,79.4893647
03/07/2024,#2010 - 21 OVERLEA BOULEVARD,TORONTO,ONTARIO,M4H1P2,NASIM YUSUFI,ROYAL LEPAGE CITIZEN REALTY,"$520,000",43.7040521,79.3491519
03/07/2024,#208 - 25 MAITLAND STREET,TORONTO,ONTARIO,M4Y2W1,LESLI GAYNOR,FOREST HILL REAL ESTATE INC.,"$599,000",43.6638091,79.383028
04/07/2024,#3701 - 30 NELSON STREET,TORONTO,ONTARIO,M5V0H5,GARRY BASSAN,HOUSESIGMA INC.,"$1,189,000",43.6491828,79.3883651
03/07/2024,#3708 - 65 ST MARY STREET,TORONTO,ONTARIO,M5S0A6,NIMA KOMPANI,RIGHT AT HOME REALTY,"$599,000",43.6670657,79.3894282
02/07/2024,#5 - 319 JARVIS STREET,TORONTO,ONTARIO,M5B0C8,MAGGIE CAI,BAY STREET GROUP INC.,"$79,900",43.6597721,79.3754208
6/24/2024,#601 - 1603 EGLINTON AVENUE W,TORONTO,ONTARIO,M6E0A1,ROBERT MIRABELLI,SUTTON GROUP-SECURITY REAL ESTATE INC.,"$499,000",43.696916,79.4431064
03/07/2024,#710 - 625 THE WEST MALL,TORONTO,ONTARIO,M9C4W9,CLEVELAND LEWIS,HOMELIFE/MIRACLE REALTY LTD,"$545,555",43.6552669,79.5707826
6/24/2024,#711 - 19 WESTERN BATTERY ROAD,TORONTO,ONTARIO,M6K0E3,EMERSON VIVAS ZAMBRANO,ROYAL LEPAGE MEADOWTOWNE REALTY,"$659,900",43.6397197,79.4113714
29/06/2024,#802 - 110 CHARLES STREET,TORONTO,ONTARIO,M5S1K6,OMRAN ALIKHAN,ROYAL LEPAGE ELITE REALTY,"$849,786",43.6678728,79.3912425
6/24/2024,#PS06 - 52 FOREST MANOR ROAD,TORONTO,ONTARIO,M2J0E2,SHELDON TSUI,RE/MAX ELITE REAL ESTATE,"$499,000",43.7733625,79.3459053
03/07/2024,#S521 - 180 MILL STREET,TORONTO,ONTARIO,M5A0V7,ANISSA WONG,RE/MAX REALTRON REALTY INC.,"$589,900",43.6520432,79.3551781
27/06/2024,0 LEAFIELD DRIVE,TORONTO,ONTARIO,M1W2T2,CHRISTIAN NACCARATO,KELLER WILLIAMS REALTY CENTRES,"$699,999",43.7810871,79.3245078
