DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,4707 - 7 GRENVILLE STREET,TORONTO,ONTARIO,M4Y0E9,STEVE JEON,ROYAL LEPAGE NEW CONCEPT,"$2,800/MONTHLY",43.6619393,79.3838729
06/07/2024,809 - 50 CHARLES STREET E,TORONTO,ONTARIO,M4Y1T1,CSILLA CZIRIAK,RE/MAX CONDOS PLUS CORPORATION,"$2,250/MONTHLY",43.6693044,79.3838586
06/07/2024,1016 - 711 BAY STREET,TORONTO,ONTARIO,M5G2J8,NATALYA BRESKIN,RIGHT AT HOME REALTY,"$3,700/MONTHLY",43.6589025,79.3845279
06/07/2024,1505 - 59 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3R1,ALEX KLUGE,ROYAL LEPAGE TERREQUITY PLATINUM REALTY,"$4,300/MONTHLY",43.6384215,79.4136993
06/07/2024,808 - 45 CHARLES STREET E,TORONTO,ONTARIO,M4Y0B8,MARK K CHOI,RIGHT AT HOME REALTY,"$2,350/MONTHLY",43.6690358,79.3840831
06/07/2024,2603 - 23 SHEPPARD AVENUE E,TORONTO,ONTARIO,M2N0C8,HARSH DARA,PROPERTY.CA INC.,"$3,100/MONTHLY",43.7612398,79.4090037
06/07/2024,1104 - 59 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3R1,NASRUDDIN JABRANI,CITYSCAPE REAL ESTATE LTD.,"$4,293/MONTHLY",43.6384215,79.4136993
06/07/2024,PH3033 - 135 LOWER SHERBOURNE STREET,TORONTO,ONTARIO,M5A1Y4,CHAVELLE HUI,HARLOWE REALTY CORPORATION,"$3,600/MONTHLY",43.6501262,79.3672277
06/07/2024,3114 - 197 YONGE STREET,TORONTO,ONTARIO,M5B1M4,JEFF JAFFARI,RE/MAX HALLMARK REALTY LTD.,"$2,700/MONTHLY",43.6534359,79.3791875
06/07/2024,2207 - 8 PARK ROAD,TORONTO,ONTARIO,M4W3S5,SABINE EL GHALI,IPRO REALTY LTD.,"$2,800/MONTHLY",43.6712434,79.3847264
06/07/2024,4 - 8 MALLORY GARDENS,TORONTO,ONTARIO,M4V2A6,ANTONINA DOHOT,RE/MAX REALTRON REALTY INC.,"$2,299/MONTHLY",43.690527,79.3966503
06/07/2024,2205 - 50 CHARLES STREET E,TORONTO,ONTARIO,M4Y1T1,KELLY SHEN,EASTIDE REALTY,"$830,000",43.6693044,79.3838586
06/07/2024,1702 - 224 KING STREET W,TORONTO,ONTARIO,M5V1H8,ALEXANDRA CARLIN,BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY,"$498,888",43.6473814,79.3873026
06/07/2024,335 LYTTON BOULEVARD,TORONTO,ONTARIO,M5N1R9,SUZY GOLDSTEIN,SUTTON GROUP-ADMIRAL REALTY INC.,"$9,810,000",43.7125989,79.4174481
06/07/2024,916 - 55 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3P9,FRANCO IOZZO,CENTURY 21 ATRIA REALTY INC.,"$719,900",43.6386684,79.4127931
06/07/2024,170 RANEE AVENUE,TORONTO,ONTARIO,M6A1N5,MERAD SAFAEIAN,THE AGENCY,"$2,825,000",43.7246848,79.4433074
06/07/2024,2906 - 1 BLOOR AVENUE E,TORONTO,ONTARIO,M4W0A8,MANA FAKHRIEH-KASHAN,FOREST HILL REAL ESTATE INC.,"$869,000",43.6701416,79.3862339
